,provnum,name,address,city,state,zip,county,bedcert,ownership,employee_cases,resident_cases,resident_deaths,cna_hprd,lpn_hprd,rn_hprd,total_hprd,full_address_from_csv,google_address,google_long,google_lat
0,395495,WILLOWBROOKE COURT AT SPRING HOUSE ESTATES,728 NORRISTOWN ROAD,LOWER GWYNEDD,PA,19002,MONTGOMERY,16,Non profit - Corporation,15,49,23,2.38145,0.32614,0.94716,3.65475,"728 NORRISTOWN ROAD, LOWER GWYNEDD, PA, , 19002, USA","728 Norristown Rd, Lower Gwynedd Township, PA 19002, USA",-75.2215308,40.1812373
1,395864,JUNIPER VILLAGE AT BUCKS COUNTY REHABILITATION AND SKILLED C,3200 BENSALEM BOULEVARD,BENSALEM,PA,19020,BUCKS,17,For profit - Corporation,9,12,5,2.8374200000000003,0.02157,2.2945,5.1535,"3200 BENSALEM BOULEVARD, BENSALEM, PA, , 19020, USA","3200 Bensalem Blvd, Bensalem, PA 19020, USA",-74.9182512,40.1409502
2,395801,"QUADRANGLE, THE",3300 DARBY ROAD,HAVERFORD,PA,19041,DELAWARE,78,For profit - Corporation,21,44,22,2.64269,0.71336,1.48359,4.83964,"3300 DARBY ROAD, HAVERFORD, PA, , 19041, USA","3300 Darby Rd, Haverford, PA 19041, USA",-75.3334567,39.99929119999999
3,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",500 WASHINGTON STREET,EASTON,PA,18042,NORTHAMPTON,115,For profit - Corporation,34,97,30,2.03776,0.8786799999999999,0.5047699999999999,3.42121,"500 WASHINGTON STREET, EASTON, PA, , 18042, USA","500 Washington St, Easton, PA 18042, USA",-75.21335549999999,40.6869171
4,396120,PHOEBE WYNCOTE,208 FERNBROOK AVENUE,WYNCOTE,PA,19095,MONTGOMERY,58,Non profit - Corporation,*,50,14,2.45361,0.39224,1.19986,4.04571,"208 FERNBROOK AVENUE, WYNCOTE, PA, , 19095, USA","208 Fernbrook Ave, Wyncote, PA 19095, USA",-75.14135809999999,40.0889949
5,396119,MT. HOPE NAZARENE RETIREMENT COMMUNITY,3026 MOUNT HOPE HOME ROAD,MANHEIM,PA,17545,LANCASTER,50,Non profit - Corporation,9,23,12,2.53552,0.84577,0.77655,4.15784,"3026 MOUNT HOPE HOME ROAD, MANHEIM, PA, , 17545, USA","3026 Mt Hope Home Rd, Manheim, PA 17545, USA",-76.4668373,40.2072861
6,395964,SHIPPENSBURG HEALTH CARE CENTER,121 WALNUT BOTTOM ROAD,SHIPPENSBURG,PA,17257,CUMBERLAND,125,For profit - Partnership,27,91,30,1.9415,0.77068,0.46112,3.1733,"121 WALNUT BOTTOM ROAD, SHIPPENSBURG, PA, , 17257, USA","121 Walnut Bottom Rd, Shippensburg, PA 17257, USA",-77.4931851,40.0605197
7,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,3000 WINDMILL ROAD,SINKING SPRING,PA,19608,BERKS,214,For profit - Corporation,35,156,50,1.82001,0.7458600000000001,0.45254,3.0184,"3000 WINDMILL ROAD, SINKING SPRING, PA, , 19608, USA","3000 Windmill Rd, Sinking Spring, PA 19608, USA",-76.0100406,40.3194766
8,395720,"HOMESTEAD VILLAGE,  INC.",1800 VILLAGE CIRCLE,LANCASTER,PA,17604,LANCASTER,60,Non profit - Corporation,28,37,14,3.20656,0.99877,0.7787,4.9840300000000015,"1800 VILLAGE CIRCLE, LANCASTER, PA, , 17604, USA","1800 Village Cir, Lancaster, PA 17603, USA",-76.35161599999999,40.0471076
9,395603,CARING HEIGHTS COMMUNITY CARE AND REHABILITATION CENTER,234 CORAOPOLIS ROAD,CORAOPOLIS,PA,15108,ALLEGHENY,120,For profit - Corporation,22,65,28,1.6501599999999998,0.54974,0.60434,2.80425,"234 CORAOPOLIS ROAD, CORAOPOLIS, PA, , 15108, USA","234 Coraopolis Rd, Coraopolis, PA 15108, USA",-80.1150237,40.5017733
